# Moment coefficient bins
# bins        : 20
# start       : 2.016667e+00
# delta       : 1.567777e-01
# direction   : (1.000000e+00 0.000000e+00 0.000000e+00)
# x co-ords  :	2.173444e+00	2.330222e+00	2.487000e+00	2.643777e+00	2.800555e+00	2.957333e+00	3.114110e+00	3.270888e+00	3.427666e+00	3.584443e+00	3.741221e+00	3.897999e+00	4.054776e+00	4.211554e+00	4.368332e+00	4.525109e+00	4.681887e+00	4.838665e+00	4.995442e+00	5.152220e+00
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
#
# Time        	0:total       	0:pressure    	0:viscous     	0:porous      	1:total       	1:pressure    	1:viscous     	1:porous      	2:total       	2:pressure    	2:viscous     	2:porous      	3:total       	3:pressure    	3:viscous     	3:porous      	4:total       	4:pressure    	4:viscous     	4:porous      	5:total       	5:pressure    	5:viscous     	5:porous      	6:total       	6:pressure    	6:viscous     	6:porous      	7:total       	7:pressure    	7:viscous     	7:porous      	8:total       	8:pressure    	8:viscous     	8:porous      	9:total       	9:pressure    	9:viscous     	9:porous      	10:total      	10:pressure   	10:viscous    	10:porous     	11:total      	11:pressure   	11:viscous    	11:porous     	12:total      	12:pressure   	12:viscous    	12:porous     	13:total      	13:pressure   	13:viscous    	13:porous     	14:total      	14:pressure   	14:viscous    	14:porous     	15:total      	15:pressure   	15:viscous    	15:porous     	16:total      	16:pressure   	16:viscous    	16:porous     	17:total      	17:pressure   	17:viscous    	17:porous     	18:total      	18:pressure   	18:viscous    	18:porous     	19:total      	19:pressure   	19:viscous    	19:porous     
1             	-2.949261e-01	-2.636426e-01	-4.423005e-05	-3.123931e-02	-4.304061e-01	-3.990927e-01	-7.411275e-05	-3.123931e-02	-3.069361e-01	-2.755909e-01	-1.058537e-04	-3.123931e-02	-4.729219e-01	-4.415541e-01	-1.284536e-04	-3.123931e-02	-7.936027e-01	-7.622047e-01	-1.586631e-04	-3.123931e-02	-1.050770e+00	-1.019353e+00	-1.774809e-04	-3.123931e-02	-1.244348e+00	-1.212911e+00	-1.977357e-04	-3.123931e-02	-1.474977e+00	-1.443515e+00	-2.225834e-04	-3.123931e-02	-1.723538e+00	-1.692046e+00	-2.527793e-04	-3.123931e-02	-1.958649e+00	-1.927123e+00	-2.865941e-04	-3.123931e-02	-2.002531e+00	-1.970972e+00	-3.189943e-04	-3.123931e-02	-2.002448e+00	-1.970861e+00	-3.475017e-04	-3.123931e-02	-2.001229e+00	-1.969614e+00	-3.757575e-04	-3.123931e-02	-1.995805e+00	-1.964161e+00	-4.043964e-04	-3.123931e-02	-1.980731e+00	-1.949057e+00	-4.346778e-04	-3.123931e-02	-1.905882e+00	-1.874168e+00	-4.745344e-04	-3.123931e-02	-1.860756e+00	-1.829010e+00	-5.061200e-04	-3.123931e-02	-1.826128e+00	-1.794352e+00	-5.359812e-04	-3.123931e-02	-1.809017e+00	-1.777222e+00	-5.558921e-04	-3.123931e-02	-1.938468e+00	-1.906637e+00	-5.918812e-04	-3.123931e-02
2             	-2.974961e-01	-2.646876e-01	-6.510969e-05	-3.274342e-02	-4.395389e-01	-4.066994e-01	-9.604776e-05	-3.274342e-02	-3.230368e-01	-2.901705e-01	-1.228181e-04	-3.274342e-02	-4.813743e-01	-4.485050e-01	-1.259476e-04	-3.274342e-02	-7.773303e-01	-7.444685e-01	-1.184416e-04	-3.274342e-02	-1.015807e+00	-9.829535e-01	-1.098819e-04	-3.274342e-02	-1.200681e+00	-1.167822e+00	-1.161644e-04	-3.274342e-02	-1.422596e+00	-1.389710e+00	-1.428621e-04	-3.274342e-02	-1.663800e+00	-1.630873e+00	-1.828765e-04	-3.274342e-02	-1.892700e+00	-1.859723e+00	-2.329956e-04	-3.274342e-02	-1.933389e+00	-1.900358e+00	-2.881075e-04	-3.274342e-02	-1.930440e+00	-1.897360e+00	-3.363746e-04	-3.274342e-02	-1.925824e+00	-1.892697e+00	-3.835388e-04	-3.274342e-02	-1.917252e+00	-1.884077e+00	-4.315379e-04	-3.274342e-02	-1.897978e+00	-1.864751e+00	-4.838446e-04	-3.274342e-02	-1.824138e+00	-1.790838e+00	-5.556832e-04	-3.274342e-02	-1.776699e+00	-1.743343e+00	-6.127399e-04	-3.274342e-02	-1.735688e+00	-1.702280e+00	-6.647446e-04	-3.274342e-02	-1.709255e+00	-1.675813e+00	-6.984675e-04	-3.274342e-02	-1.806353e+00	-1.772887e+00	-7.225455e-04	-3.274342e-02
3             	-7.707882e-02	-4.311949e-02	-8.972460e-05	-3.386961e-02	-1.048335e-01	-7.084351e-02	-1.204170e-04	-3.386961e-02	-9.844382e-02	-6.443345e-02	-1.407577e-04	-3.386961e-02	-1.170604e-01	-8.305803e-02	-1.327812e-04	-3.386961e-02	-1.353932e-01	-1.014233e-01	-1.003080e-04	-3.386961e-02	-1.421672e-01	-1.082236e-01	-7.404173e-05	-3.386961e-02	-1.521246e-01	-1.181806e-01	-7.442949e-05	-3.386961e-02	-1.723123e-01	-1.383331e-01	-1.095968e-04	-3.386961e-02	-1.985209e-01	-1.644897e-01	-1.615313e-04	-3.386961e-02	-2.229350e-01	-1.888379e-01	-2.275289e-04	-3.386961e-02	-2.237303e-01	-1.895489e-01	-3.118121e-04	-3.386961e-02	-2.221240e-01	-1.878768e-01	-3.775444e-04	-3.386961e-02	-2.219252e-01	-1.876167e-01	-4.389023e-04	-3.386961e-02	-2.234639e-01	-1.890935e-01	-5.007572e-04	-3.386961e-02	-2.231169e-01	-1.886757e-01	-5.715155e-04	-3.386961e-02	-2.241402e-01	-1.895848e-01	-6.858134e-04	-3.386961e-02	-2.201835e-01	-1.855430e-01	-7.708987e-04	-3.386961e-02	-2.101782e-01	-1.754642e-01	-8.443924e-04	-3.386961e-02	-1.978358e-01	-1.630752e-01	-8.909499e-04	-3.386961e-02	-1.680128e-01	-1.332634e-01	-8.797602e-04	-3.386961e-02
4             	9.467254e-02	1.293697e-01	-1.018419e-04	-3.459535e-02	1.559728e-01	1.907048e-01	-1.366363e-04	-3.459535e-02	7.193684e-02	1.066883e-01	-1.560569e-04	-3.459535e-02	1.521687e-01	1.869167e-01	-1.525975e-04	-3.459535e-02	3.251790e-01	3.599058e-01	-1.314642e-04	-3.459535e-02	4.764399e-01	5.111513e-01	-1.160485e-04	-3.459535e-02	6.028981e-01	6.376197e-01	-1.263062e-04	-3.459535e-02	7.486669e-01	7.834335e-01	-1.713240e-04	-3.459535e-02	9.028206e-01	9.376455e-01	-2.295296e-04	-3.459535e-02	1.053451e+00	1.088351e+00	-3.045195e-04	-3.459535e-02	1.087449e+00	1.122463e+00	-4.179646e-04	-3.459535e-02	1.088767e+00	1.123855e+00	-4.924158e-04	-3.459535e-02	1.087329e+00	1.122478e+00	-5.540405e-04	-3.459535e-02	1.082283e+00	1.117492e+00	-6.135686e-04	-3.459535e-02	1.073043e+00	1.108324e+00	-6.852498e-04	-3.459535e-02	1.006472e+00	1.041904e+00	-8.373539e-04	-3.459535e-02	9.648237e-01	1.000355e+00	-9.357604e-04	-3.459535e-02	9.351480e-01	9.707580e-01	-1.014685e-03	-3.459535e-02	9.184742e-01	9.541328e-01	-1.063196e-03	-3.459535e-02	9.732025e-01	1.008877e+00	-1.079399e-03	-3.459535e-02
5             	9.899017e-02	1.335643e-01	-9.430583e-05	-3.447987e-02	1.699194e-01	2.045329e-01	-1.336163e-04	-3.447987e-02	9.432373e-02	1.289583e-01	-1.546495e-04	-3.447987e-02	1.716346e-01	2.062833e-01	-1.688162e-04	-3.447987e-02	3.250622e-01	3.597291e-01	-1.870467e-04	-3.447987e-02	4.561273e-01	4.908051e-01	-1.979400e-04	-3.447987e-02	5.775539e-01	6.122531e-01	-2.192748e-04	-3.447987e-02	7.208278e-01	7.555744e-01	-2.666962e-04	-3.447987e-02	8.730753e-01	9.078759e-01	-3.206910e-04	-3.447987e-02	1.020410e+00	1.055282e+00	-3.923845e-04	-3.447987e-02	1.051480e+00	1.086475e+00	-5.153759e-04	-3.447987e-02	1.048255e+00	1.083322e+00	-5.864165e-04	-3.447987e-02	1.041076e+00	1.076196e+00	-6.404155e-04	-3.447987e-02	1.031396e+00	1.066565e+00	-6.890896e-04	-3.447987e-02	1.018316e+00	1.053543e+00	-7.468958e-04	-3.447987e-02	9.536501e-01	9.890204e-01	-8.904260e-04	-3.447987e-02	9.097775e-01	9.452294e-01	-9.720929e-04	-3.447987e-02	8.709602e-01	9.064868e-01	-1.046742e-03	-3.447987e-02	8.399163e-01	8.754909e-01	-1.094689e-03	-3.447987e-02	8.569624e-01	8.926086e-01	-1.166348e-03	-3.447987e-02
6             	-1.322925e-02	2.123134e-02	-8.483889e-05	-3.437575e-02	-3.271753e-03	3.123225e-02	-1.282502e-04	-3.437575e-02	-2.659332e-02	7.938554e-03	-1.561207e-04	-3.437575e-02	-2.434652e-02	1.021053e-02	-1.812993e-04	-3.437575e-02	-2.070138e-02	1.389365e-02	-2.192826e-04	-3.437575e-02	-1.711019e-02	1.750500e-02	-2.394469e-04	-3.437575e-02	1.013569e-02	4.477356e-02	-2.621257e-04	-3.437575e-02	4.640800e-02	8.108712e-02	-3.033729e-04	-3.437575e-02	8.613591e-02	1.208610e-01	-3.493307e-04	-3.437575e-02	1.285755e-01	1.633645e-01	-4.133150e-04	-3.437575e-02	1.409026e-01	1.758035e-01	-5.251217e-04	-3.437575e-02	1.422651e-01	1.772278e-01	-5.869892e-04	-3.437575e-02	1.441343e-01	1.791478e-01	-6.377341e-04	-3.437575e-02	1.491210e-01	1.841789e-01	-6.821687e-04	-3.437575e-02	1.578243e-01	1.929294e-01	-7.293250e-04	-3.437575e-02	1.331584e-01	1.683707e-01	-8.365298e-04	-3.437575e-02	1.084162e-01	1.436934e-01	-9.015163e-04	-3.437575e-02	7.956485e-02	1.149105e-01	-9.698573e-04	-3.437575e-02	4.465702e-02	8.004922e-02	-1.016447e-03	-3.437575e-02	-3.810077e-02	-2.553384e-03	-1.171638e-03	-3.437575e-02
7             	-1.000501e-01	-6.513575e-02	-8.111961e-05	-3.483326e-02	-1.375958e-01	-1.026317e-01	-1.307805e-04	-3.483326e-02	-1.193956e-01	-8.439198e-02	-1.703528e-04	-3.483326e-02	-1.644780e-01	-1.294463e-01	-1.985052e-04	-3.483326e-02	-2.521161e-01	-2.170510e-01	-2.318770e-04	-3.483326e-02	-3.237036e-01	-2.886246e-01	-2.457219e-04	-3.483326e-02	-3.663294e-01	-3.312324e-01	-2.636987e-04	-3.483326e-02	-4.174393e-01	-3.823088e-01	-2.972434e-04	-3.483326e-02	-4.708692e-01	-4.356944e-01	-3.415414e-04	-3.483326e-02	-5.159732e-01	-4.807320e-01	-4.079312e-04	-3.483326e-02	-5.199981e-01	-4.846482e-01	-5.166450e-04	-3.483326e-02	-5.157634e-01	-4.803436e-01	-5.865281e-04	-3.483326e-02	-5.075938e-01	-4.721108e-01	-6.497366e-04	-3.483326e-02	-4.935262e-01	-4.579878e-01	-7.051092e-04	-3.483326e-02	-4.715018e-01	-4.359100e-01	-7.585096e-04	-3.483326e-02	-4.606946e-01	-4.250056e-01	-8.558054e-04	-3.483326e-02	-4.609598e-01	-4.251958e-01	-9.307164e-04	-3.483326e-02	-4.673678e-01	-4.315338e-01	-1.000757e-03	-3.483326e-02	-4.842415e-01	-4.483573e-01	-1.050907e-03	-3.483326e-02	-5.721488e-01	-5.360495e-01	-1.266030e-03	-3.483326e-02
8             	-1.174382e-01	-8.183035e-02	-9.191710e-05	-3.551596e-02	-1.642348e-01	-1.285754e-01	-1.434464e-04	-3.551596e-02	-1.361938e-01	-1.004891e-01	-1.887714e-04	-3.551596e-02	-1.842293e-01	-1.484975e-01	-2.158875e-04	-3.551596e-02	-2.724349e-01	-2.366829e-01	-2.360063e-04	-3.551596e-02	-3.403841e-01	-3.046310e-01	-2.371644e-04	-3.551596e-02	-3.929730e-01	-3.572068e-01	-2.502441e-04	-3.551596e-02	-4.621446e-01	-4.263462e-01	-2.824236e-04	-3.551596e-02	-5.351016e-01	-4.992500e-01	-3.356715e-04	-3.551596e-02	-5.995974e-01	-5.636645e-01	-4.169040e-04	-3.551596e-02	-6.084246e-01	-5.723693e-01	-5.393804e-04	-3.551596e-02	-6.055685e-01	-5.694195e-01	-6.330864e-04	-3.551596e-02	-5.993732e-01	-5.631387e-01	-7.185578e-04	-3.551596e-02	-5.898264e-01	-5.535172e-01	-7.932699e-04	-3.551596e-02	-5.748753e-01	-5.384962e-01	-8.631701e-04	-3.551596e-02	-5.569477e-01	-5.204589e-01	-9.727848e-04	-3.551596e-02	-5.466070e-01	-5.100297e-01	-1.061374e-03	-3.551596e-02	-5.388761e-01	-5.022213e-01	-1.138861e-03	-3.551596e-02	-5.359695e-01	-4.992581e-01	-1.195476e-03	-3.551596e-02	-5.670202e-01	-5.300838e-01	-1.420371e-03	-3.551596e-02
9             	-1.015704e-01	-6.554094e-02	-1.024717e-04	-3.592702e-02	-1.366330e-01	-1.005529e-01	-1.530350e-04	-3.592702e-02	-1.121135e-01	-7.599085e-02	-1.956245e-04	-3.592702e-02	-1.452640e-01	-1.091153e-01	-2.216473e-04	-3.592702e-02	-1.995747e-01	-1.634123e-01	-2.354204e-04	-3.592702e-02	-2.361437e-01	-1.999901e-01	-2.265786e-04	-3.592702e-02	-2.690528e-01	-2.328888e-01	-2.369697e-04	-3.592702e-02	-3.169668e-01	-2.807659e-01	-2.738738e-04	-3.592702e-02	-3.679758e-01	-3.317086e-01	-3.402358e-04	-3.592702e-02	-4.148441e-01	-3.784798e-01	-4.373603e-04	-3.592702e-02	-4.217571e-01	-3.852532e-01	-5.768818e-04	-3.592702e-02	-4.221058e-01	-3.854878e-01	-6.909742e-04	-3.592702e-02	-4.224258e-01	-3.857057e-01	-7.931096e-04	-3.592702e-02	-4.239898e-01	-3.871801e-01	-8.827123e-04	-3.592702e-02	-4.254978e-01	-3.886037e-01	-9.670726e-04	-3.592702e-02	-4.080795e-01	-3.710649e-01	-1.087659e-03	-3.592702e-02	-3.907469e-01	-3.536335e-01	-1.186302e-03	-3.592702e-02	-3.734443e-01	-3.362410e-01	-1.276313e-03	-3.592702e-02	-3.540682e-01	-3.168014e-01	-1.339749e-03	-3.592702e-02	-3.079350e-01	-2.704974e-01	-1.510524e-03	-3.592702e-02
10            	-5.805461e-02	-2.190692e-02	-1.037132e-04	-3.604398e-02	-6.920512e-02	-3.300760e-02	-1.535441e-04	-3.604398e-02	-6.746855e-02	-3.123317e-02	-1.913909e-04	-3.604398e-02	-7.775584e-02	-4.149790e-02	-2.139619e-04	-3.604398e-02	-8.592767e-02	-4.965652e-02	-2.271669e-04	-3.604398e-02	-8.345793e-02	-4.719670e-02	-2.172447e-04	-3.604398e-02	-7.849061e-02	-4.221871e-02	-2.279137e-04	-3.604398e-02	-7.765775e-02	-4.134299e-02	-2.707747e-04	-3.604398e-02	-7.715986e-02	-4.077100e-02	-3.448808e-04	-3.604398e-02	-7.688939e-02	-4.039787e-02	-4.475466e-04	-3.604398e-02	-7.450931e-02	-3.787142e-02	-5.939060e-04	-3.604398e-02	-7.535176e-02	-3.859511e-02	-7.126671e-04	-3.604398e-02	-7.825324e-02	-4.139142e-02	-8.178430e-04	-3.604398e-02	-8.428958e-02	-4.733424e-02	-9.113542e-04	-3.604398e-02	-9.237970e-02	-5.533412e-02	-1.001596e-03	-3.604398e-02	-9.074753e-02	-5.357947e-02	-1.124081e-03	-3.604398e-02	-8.375474e-02	-4.648335e-02	-1.227407e-03	-3.604398e-02	-7.403118e-02	-3.665588e-02	-1.331323e-03	-3.604398e-02	-5.939434e-02	-2.195134e-02	-1.399019e-03	-3.604398e-02	-6.404020e-03	3.112296e-02	-1.482995e-03	-3.604398e-02
