# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 4.000000e+00
# Aref        : 1.000000e+00
# CofR        : (3.500000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-1.938468e+00	9.392616e+00	1.748503e+00	-1.064217e+00	2.812719e+00
2             	-1.806353e+00	8.976962e+00	1.729604e+00	-9.415511e-01	2.671155e+00
3             	-1.680128e-01	1.071778e+00	-4.429159e-01	-3.894708e-01	-5.344513e-02
4             	9.732025e-01	-4.747547e+00	-1.283671e+00	3.313669e-01	-1.615038e+00
5             	8.569624e-01	-4.593392e+00	-1.283664e+00	2.151306e-01	-1.498794e+00
6             	-3.810077e-02	-2.699172e-01	6.509082e-01	2.873534e-01	3.635549e-01
7             	-5.721488e-01	2.638811e+00	1.427764e+00	1.417333e-01	1.286031e+00
8             	-5.670202e-01	2.807541e+00	7.467559e-01	-1.936422e-01	9.403981e-01
9             	-3.079350e-01	1.542034e+00	-3.069156e-01	-4.613928e-01	1.544772e-01
10            	-6.404020e-03	3.139849e-02	-5.690203e-01	-2.909142e-01	-2.781061e-01
11            	1.535714e-01	-7.029748e-01	8.577808e-03	1.578603e-01	-1.492825e-01
12            	1.160838e-01	-5.356552e-01	4.256651e-01	3.289163e-01	9.674874e-02
13            	-3.253397e-02	1.849899e-01	7.014844e-01	3.182082e-01	3.832762e-01
14            	-1.788514e-01	8.558888e-01	5.204274e-01	8.136233e-02	4.390651e-01
15            	-2.367633e-01	1.100679e+00	1.763132e-01	-1.486067e-01	3.249199e-01
16            	-2.010754e-01	9.588448e-01	9.409556e-02	-1.540276e-01	2.481232e-01
17            	-7.522069e-02	4.372302e-01	2.247964e-01	3.717752e-02	1.876189e-01
18            	1.817438e-02	4.367179e-02	4.377380e-01	2.370434e-01	2.006946e-01
19            	4.567887e-03	7.980081e-02	5.050361e-01	2.570859e-01	2.479502e-01
20            	-4.663220e-02	2.692602e-01	4.287410e-01	1.677383e-01	2.610027e-01
21            	-1.014523e-01	4.953248e-01	3.336518e-01	6.537358e-02	2.682783e-01
